AR_NUMBER,AR_PRIORITY,AR_SEVERITY,PRIORITY_SEVERITY,CONCAT_TEXT_FOR_WKS
390124,NCAQ,4,NCAQ:4,light need replace tb west side wr create january replace light tb west side several light replace wr close however still light not function cr work request document light replacement repair florescent light still flicker light mezzanine area light ibd enclosure still informed electrical maintenance non essential lightingtb west
397830,CAQ,D,CAQ:D,exhaust flow rate disparity pdis wea sr pdis datum point enw cgs l x radwaste exhaust flow rate mismatch exhaust flow indicate wea sr approximately difference could cause number issue include sample flow wea sr indicate isokenetic not introduce error offsite dose calculation currently use high value would err side caution suggest determination value correct ic correction make adjust incorrect data point specialist inform
389186,NCAQ,4,NCAQ:4,fwh not respond expect place service recover fwh heateraos response not expect per sop fwh start place hd lica less record value heater remove service give adequate level rise logged value fwh remove demand signal remove per sop fwh shutdown demand hd lica hotwell level begin slowly lower indication fwh fill controller place automatic control per sop fwh start level swing display fwh significantly pronounced b c fwh place online shortly hd lica establish level set point au level stabilize appear operate normally exception demand roughly b andc fwh normal demand hd lica open hd licb hd licc operate around open maintain level informed mcr
393594,NCAQ,4,NCAQ:4,e cbd would not rack remove position rack circuit breaker e cbd per wo would not go remove position allow breaker pull cubicle bus cleaning write cr inform crs
396997,NCAQ,3,NCAQ:3,wo needs enhancement step direct operator close dw v lazy caveat auotherwise n step not perform au prerequisite work order system place service system service valve open competent operator know n step verbiage conducive improper positioning situation operator inexperienced perceive time pressure personal opinion step omit entirely minimum step format statement explicitly direct operator close valve find closed position keywords pwc v backflow preventer informed mcrwo task
395077,NCAQ,4,NCAQ:4,trouble shoot ms mob identify pinched wire trouble shoot ms mob identify pinch wire limitswitch compartment repair wire loose connection via wr no additional action require
391314,NCAQ,3,NCAQ:3,fm likely enter cbd pipe cwph attempt removal completion hot tap angle tap cbd likely pilot bit enter pipe open cl v valve determine break pilot bit could see not evident angle tap cutter portion broken tool remove angle tap search end pilot bit pilot bit not see feel insert tool feel bit work stop supervisor notify supervisor notify operations engineering decision make continue completion angle tap tap complete material fine cutter collect angle tap possibility previously review occ engineering evaluation recommend delta trend cbd
399645,NCAQ,4,NCAQ:4,light panel breaker not close electrician perform emergent lighting upgrade per wr open circuit breaker e lpb repair two f style fixture cond aoa electrician go close lighting breaker not snap closed position necessary electrician need determine type square breaker snap bolt e lpb suspect breaker circuit bad notified supervisor write cr add step wr install temp lighting mechanical work cond aoa f fixture valve galley rw
402347,CAQ,D,CAQ:D,lprm show reject acumen lprm show reject highlight red acumen case plot lprm stable symmetrical lprm value consistent value informed crs
395538,NCAQ,4,NCAQ:4,cond teb leak oil thread large diameter thread oil puddle since system operate teaspoon size puddle oil may get encloser write ar contact c shop
384974,NCAQ,3,NCAQ:3,recommend change sop rhr sdc sop rhr sdc pl state avoid pump damage failure verify rhr fcva b minimum flow open low flow condition section procedure require initiating secure flow minimum flow valve first deactivate close prevent pumping reactor coolant suppression pool pl remove none
402099,NCAQ,3,NCAQ:3,pmid miss pm january febru review notice isp arm isp cm prm not schedule look individual pmid miss work order january february work order nov dec start march thru june contacted pm coordinator write cr
384929,NCAQ,3,NCAQ:3,exam failure es psa one student fail es psa exam conduct cr writter per direction tdi rev section p notify appropriate line training supervisor
395050,NCAQ,4,NCAQ:4,r cond lcvb packing gland bottom follow repack diagnostic testing cond lcvb discover pack gland bottom consolidate pack gland bottom still minimal friction stem recommend valve disassemble time find cause problem verify packing extrude system contacted component engineering g
400926,CAQ,D,CAQ:D,e tr transformer oil level indicate high e tr transformer level indicate high please investigate notified smgt write cr sm room
399135,CAQ,C,CAQ:C,wma ccb obstructed tube find inspection borescopic inspection inlet outlet header wma ccb per wo one tube find piece debris lodge location inlet header low wma ccb tube clear debris appear clean little fouling recommend craft perform reverse flush remove debris contact shift manager supervisor inform information reverse flush perform wma ccb inspection low coil inlet backflush show th tube bottom still debris engineering recommend try dislodge debris curved piece tubing effective dislodge debris ensure none debris push farther tube could see borescope recommend maintenance perform another backflush follow second backflush inlet outlet header low coil inspect no debris block tube header clean ready anode instal
397035,CAQ,D,CAQ:D,ms rvb ads test signal light lose indication ms rvb ads test signal light channel b panel hp lose indication occur multiple time past week light bulb channel b discover extinguish light bulb change multiple time recent instance light bulb remove socket warm approximately minute body heat insert socket light turn back recommend investigate repair cause light bulb extinguish ms rvb ads test signal channel b p current light bulb instal approximately week warm light bulb verify illuminate discuss issue operator determine happen frequently since r multiple operating crew operator main control room hp upper portion bulb illumination problem not isolate ms rvb ads valve periodic bulb illumination problem circuit evaluate adequacy bulb design application
393513,NCAQ,4,NCAQ:4,bs vb packing not meet preferred packing stress bs vb pack use chesterton graphoil packing packing torque ft lbs produce pack stress psi increase torque beyond ft lbs cause valve bind chesterton packing manufacture die press psi must torque value create great psi stress order achieve consolidation psi manufacturing pressure no consolidation take place process whereby packing compress spread fill void stem stuff box without achieve adequate consolidation leak free operation not guarantee packing torque value ensure consolidation take place ai valve bind recur issue non return valve ap services improve packing material seal low gland stress less packing friction use less ring packing approve use r rie cat idaos create base measurement obtain disassembly inspection work order suitable replacement packing due onsite engineeringaos recommendation valve repacke new ap services style packing set prevent potential leakage binding packing order due site work order still open facilitate repackt
389672,CAQ,C,CAQ:C,cms ohr yokogawa not accurate cms ohr read drywell day shift wetwell cms ohr continue read despite wetwell actually accord cms ohr cms cp front panel indication cms cp indicate wetwell
402632,NCAQ,4,NCAQ:4,dupont peak warn xd paap recieve dupont peak warn xd place service recieved dupont peak warning notify supervision cr wr generatedinside paap
390990,NCAQ,4,NCAQ:4,door cage exterior cage hinge door need maintenance contact security ext detail barrier function door remain functional contact security additional detail
391894,NCAQ,4,NCAQ:4,unable complete pmt rhr moa unable complete pmt rhr moa wo issue around rhr moa fail stroke rotation check result delay see ar cr wr troubleshoot wr establish proceed ops unable support troubleshoot plan due emergent issue ground alarm bus see ar cr wr pull pmt task support emergent ground alarm issue also go loose temp lift due run shift change supervision notification coordination switch primary task emergent task write cr track pmt rhr moa
398859,NCAQ,4,NCAQ:4,late relief shift hp technicians two individual fail show relieve shift hp technicians morning require emergent callout holdover nightshift technician two qualified individual call arrive approximately two nightshift technician relieve time no time hp staffing beneath minimum require start immediate callout hold two nightshift technician relieved assess fitness two individual call ensure fit duty contact eventually make scheduled shift personnel arrive site individual assess fitness determine fit duty
384460,NCAQ,3,NCAQ:3,qa housekeeping issue warehouse snm inventory qa special nuclear material inventory item warehouse follow housekeeping issue identify box contain lprm snm label require ppm also radioactive material data label incorrectly note box contain irm issue previously identify quality audit au en snm label visible box contain no snm elsewhere box label indicate box empty paper side lprm box list content snm label find box contact information individual no longer work site work different role large amount dirt dust also accumulate floor box warehouse two rm data labels blue lprm box include statement auat one time box detectable contaminationau dated comment confuse worker potentially contrary radiological information label recommend resolution remove label date incorrect information create replacement label appropriate also recommend schedule cleaning snm area prior testing snm detector installation r issue identify quality continuous monitoring activity detailed description modify add qa identifier first line
384668,CAQ,D,CAQ:D,dg walkdown observation electrical locate near generator shaft guard coated flexible steel cable conduit crack dg room qualified seismic not helb per eq engineer acceptable not concern moisture instrusion recommend electrician evaluate removal repair notified cr fin
394034,NCAQ,4,NCAQ:4,xd require maintenance xd require maintenance contact detail xd take service contacted occ ic component group manager initiate cr wr
394305,NCAQ,4,NCAQ:4,oil identify e tr n tap changer control oil find tap changer control e tr n perform kv energization walkdown oil see e tr n tap changer control leak previously identify ar cr wo
391581,NCAQ,4,NCAQ:4,hssf barrier ropes degraded rope use barrier area around hssf facility degrade need replace performance cathodic protection surveilance find danger sign ground sun damage rope attche cut sign tie wrap rope barrier need maintenance new rope notified supervisor notify control room take picture write crrope barrier around gate hssf facility
395227,NCAQ,4,NCAQ:4,simulator training losttime lost approximately minute first u jitt due unable synchronize generator work around make complete follow jitt session sr initiate track repair issue suggest close trend cr inprog approve cr move sro ops review
397828,CAQ,D,CAQ:D,dbai clearance line grating east west clearance approximately minimum exist north south clearance zero inch south one two line however field clearance sufficient preclude design basis analysis aed cal horizontal sse seismic load movement line even small dbai nrc inspector identify clearance concern exist cope notched area aluminum grate extension west side dg dg enga two small bore line concern relatively flexible small bore line may damage design basis seismic event potential seismic motion pipe movement result impact relatively rigid nearby aluminum grating subject aluminum grating extension depict aed dggratingext subject piping depict cvi cvi design engineering investigate concern exist clearance line aluminum grating great east west great equal north south sufficient preclude potentially unevaluated pipe interaction nearby aluminum grating field investigation conclusion confirm via subsequent review pipe stress analysis aed cal horizontal sse seismic movement small bore piping small base upon small horizontal sse load calculate piping configuration piping relatively stiff design engineering complete field walkdown similar potential significant north south impact load piping support either side grating pipe interaction grating sse condition not exist additionally exist east west aluminum grating line west side dg dg engb reference aed draw grating isometric cvi cvi line investigation identify exist seismic interaction piping grating conclusion confirm via review pipe stress similar configuration adjacent dg therefore no concern continue operation function qualification edg engine aluminum grating small bore piping associate condition however would appropriate increase size cope notch aluminum grate west side dg engb provide additional clearance line south complete extent condition walkdown dg dg area conduct design engineering similar potential interaction aluminum grating small bore piping west dg enga west dg engb preclude pipe support u bolt pipe support u bolt axial lug piping exist near grating location no similar condition find east side dg enga dg engb east side dg enga dg engb cope notch grating tube associate dlo va dlo vb tubing well support immediately either side grating preclude potential design basis seismic interaction tubing grating notified operations send e mail shift manager unjumbled ar cr text attach ar cr edms photo attach ar cr edms grating piping proximity configuration exist west dg enga exist west dg engb
395158,NCAQ,3,NCAQ:3,r lesson learn recommend siemens provide tool c van every outage free release large amount tool equipment siemens bring rca costly expense recommend utilize clean tool c van locate turbine building west side roll door additionally enormous amount material need survey free release put en undue risk many time tool bring rca never use item hydraulic oil find siemens box without properly label track siemens responsible c van would include organizing issuing control clean tool utilize inside rca ensure radiological control maintain samaos would set front c van survey tool use inside rca back clean siemens c van set similar c van system tg ao
395898,NCAQ,3,NCAQ:3,r refuel outage startup challenge challenge r startup may precursor event previous outage may not address recommend review refuel outage performance last identify startup plant challenge anomaly resolution procedure change corrective work evaluation example r may main generator voltage regulator base adjuster issue deh ramp tv gv transfer recommend assign system engineering
387442,CAQ,D,CAQ:D,rod accumulator trouble alarm crd hcu rod accumulator trouble alarm crd hcu due moisture drain water per sop alarm clear initiate cr per night order
394557,NCAQ,3,NCAQ:3,enhance sop elec isfsi ops shutdown start normal source enhance sop elec isfsi ops shutdown start note state normal source sop elec smmaint step say necessary transfer isfsi normal power supply isfsi sop not say normal supply sop elecv ops imply e cbs normal emergency supply notified ops electrical production
397934,NCAQ,3,NCAQ:3,ppm require procedure enhancement ppm require procedure enhancement step step technician would evaluate monitor reading suppose identify step b way currently read part step stand alone step previous procedure step similar nature format manner recommend informed procedure sponsor submit condition report
401288,NCAQ,4,NCAQ:4,ground erosion asphalt small area roadway bldg kootenai bldg ground erode away asphalt large enough area would collapse vehicle drive location ft west recent repair make asphalt front bldg klickitat photo attach edms notified facility place orange cone affected area
393585,NCAQ,4,NCAQ:4,first aid work tg ao east condenser bay approx worker strike another worker left thumb wrench wrench remove cabinet complete task gravity movement bring wrench contact worker stand adjacent activity worker notify foreman supervisor wps safety worker evaluate receive ice ibuprofen report safety tomorrow prior begin work tomorrow wps en notification make
401538,NCAQ,3,NCAQ:3,turbine lube oil system description need correction turbine lube oil system description sd rev mr para v c describe interlock prevent turn gear operation bear header oil pressure great psig bearing lift oil pressure less psig description change say interlock prevent turn gear operation bearing header oil pressure great psig bear lift oil pressure great psig currently describe backwards actually occur investigated instrument master data sheet ps tg ps bl contact close psig psig respectively recommend severity accordance gbp cap operations training correct system description
396748,CAQ,D,CAQ:D,cia va leaking cia va isolation backup bottle cia tka nitrogen leak bonnet leak unquantifiable nature minor enough fully charge bottle probably last week need replace cia tka leave service due cia tka isolate excessive leakby informed mcr
401401,NCAQ,4,NCAQ:4,cond cp dm bad alarm card blow fuse cond cp dm bad alarm card blow fuse follow cr cr w r find bad card cond cp dm drop blow fuse fuse amp v ag type see edms pic fuse card informed mcr card fuse remove
402430,NCAQ,3,NCAQ:3,system description sd change sd description roa pa b incorrect auto start signal say pump start aoair temperature drop preset valueao not correct ewde show start logic roa pa clear show roa rly ts aocloses temp setpoint ao make sense cool system start hot power point rb hvac mirror system description incorrect information need update sd fix
383615,NCAQ,3,NCAQ:3,procedural enhancement sop rcic transfer qc recommend note add sop rcic transfer qc say procedure section assume rcic operate nowhere procedure mention rcic operation
390640,NCAQ,3,NCAQ:3,flllp mella boundary critical parameter recommend incorporate flllp critical parameter thermal limits section plant overview tdas ppcv sro ia ro closely monitor parameter write cr per ar asgn suppose part mur project tdas ppcv
396395,NCAQ,3,NCAQ:3,qa incorrect reference state ppm qa two reference ppm r r incorrectly change not align correct source document change reference could result columbia generation station cgs lose track regulatory requirement factual basis major revision ppm chemical cleaning chemical decontamination plant systems components correctly identify reference ansi n standard cleanliness requirement cgs commit revision ppm reference ansi n r r change asme nqa additional reference ansi add neither standard cgs commit r refer ansi n section aucleanness work area shall keep sufficiently clean orderly construction activity proceed efficient manner produce maintain quality r refer ansi n section aurecords copies approved procedures report shall prepare place project records au insights revision change mean add reference new reference add asme nqa quality assurance requirement nuclear facility applications ansi quality assurance program neither requirement cgs action inappropriate additionally old reference ansi n ai not remove issue condsidere deficiency identify performance special processes audit au sp quality recommend assign maintenance discuss correspond department
400181,NCAQ,4,NCAQ:4,small oil leak fill pipe cw fn thread bellow sight glass go low union slow leak need take apart redope next ct outage write cr
393125,CAQ,D,CAQ:D,isfsi cask display red isfsi cask red beginning shift turn green printout obtain temp elevate f show printout notified supervisor ops verife screen clear iaw osp sfs step isfsi
385535,NCAQ,4,NCAQ:4,simulator computer room burnt smell simulator hardware technician note strong burn odor simulator computer room odor strong enough could smell outside computer room simulator engineering office facility contact technician arrive inspect ventilation unit computer room no sign problem could find inspection not action identify cause odor request facility support identify cause smell fire simulator computer room would significant problem cgs training not impact event oder disapate approximately two hour contacted facility facility conduct inspection ventilation unit find no issue no inspection conduct identify cause smell request support perform inspection identify cause
393493,NCAQ,3,NCAQ:3,rll no overall shop dose graph create r overall valve work graph tracking estimate vs current dose daily dose report r valve graph replace seperate high dose valve work make difficult see current vs estimate dose valve work valve team need data help drive dose control rem estimate request support alara report creation
402151,NCAQ,4,NCAQ:4,exterior light near paap building door light fixture exterior paap locate near revolving entrance door week request facility relamp investigate light loss restore illumination entrance normal level light paap building exterior near revolving door
393550,NCAQ,4,NCAQ:4,hv vh not cycle repack replace valve h wo valve would not cycle packing remove valve still would not cycle contacted valve engineer look suggest either take apart investigate cut old valve replace new one turbine bld
387898,NCAQ,3,NCAQ:3,low stab misaligment find cond pb breaker low center load side stab cond cb cbb not align properly switchgear improperly impact rosette prevent breaker rack properly not breaker issue switchgear issue recommend adjust switchgear side breaker connection
395402,NCAQ,4,NCAQ:4,rfw crt l indicate fault rfw scan la rfw scan ld blink ok light indicate fault detect rfw crt l also indicate fault alarm auany faultau auany faultau auat least one faultau fault clear prior startup
398291,NCAQ,4,NCAQ:4,piece mte suspend r piece mte pass closout calibrations suspend r not use since calibrate no plant impact see list calcode descriptions models associate def no action required none trending purpose
393446,CAQ,D,CAQ:D,refuel bridge slack cable light flashing use refuel bridge operator start bridge slack cable start blink bridge control operate bridge backwards mast normal position load cell display isnaot constant vendor replace module module relay output point per vendor recommendation not correct problem initiate cr work request
385911,NCAQ,4,NCAQ:4,housekeep rw floor conduct monthly routine survey rw ao excessive amount debris notice floor next chillers floor coat film concrete weld debris although chiller replacement work still progress clean work standard not uphold station crs perform walk area concur housekeeping lack crs shift manager inform finding
393108,NCAQ,3,NCAQ:3,replacement breaker fail degraded voltage testing two replacement circuit breaker not close require degraded voltage cid use r vendor rep travel cgs assist maintenance investigation repair unable correct problem available tool appear breaker require complete teardown clean relubricate internal component correct note minor misalignment observe per vendor rep overhaul would require week half impact e sh window work breaker use replace e cb n e cb
397005,NCAQ,4,NCAQ:4,fp zone detectors fp phed page maj rev minor rev n remove move change ec w currently work implement unable test head fire system impairment open detector head test performance new ec implement w informed electrical supervision fire protection roy burson aux boiler room
391479,CAQ,D,CAQ:D,edr va not go full shut edr va not go full shut follow system flush iaw sop rw edr ops step c valve initially full open indicate mid position instead full shut informed mcr
402266,NCAQ,4,NCAQ:4,bre door handle bre door handle loose handle function design degrade spring inner portion not allow handle return horizonal position security supervision notify cr wr generate bre
397988,NCAQ,4,NCAQ:4,laboratory sink leak water observe overflow catchment pool sink cabinet chemistry lab rw leak fitting show sign wear corrosion water mop catchment container empty replace chemistry lab rw west sink cabinet
389946,NCAQ,3,NCAQ:3,r turbine walkdown indicator red r turbine work order walkdown indicator go red indicator monitor total discipline k task less iis total r original scope currently task status ready remain plan status route review two action require recovery plan assign turbine project assignment outage management evaluate validity tracking less outage task indiviidual perfomrance indicator validated task plan confirm remain task route approval ro sro
399316,NCAQ,3,NCAQ:3,fail radio chemistry environmental crosscheck st qtr value chromium high comparison know value site lab every isotop pass cross check instrument recheck still high pass count room specialist investigate chemistry supervision mcr count room specialist notify
385904,NCAQ,3,NCAQ:3,wo return planning implementation wo craft identify multiple enhancement need address contingency auwhat ifau scenario housing cover rotation require instal set screw remove direct torque wrench use maximum lbs apply removal set screw final torque spec lbs conjunction high strength thread locker wo not identify contingency set screw unable remove apply maximum torque value wo also require foam applicator use clean residual lock tight set screw hole prevent fme become lodge transmitter housing maintenance crd ltb require hour action statement enter warrant additional planning resource allocation prior implementation informed supervision return wo planning write cr rx
402463,NCAQ,3,NCAQ:3,fire alarm procedure need prerequsite address work realize prerequisite state fcp control room clear fire alarm prerequisite either obsolete incorrect prerequisite say zone test need clear fire alarm prerequisite write way shift manager require n step every time prerequisite multiple procedure change spoke shift manager fire protection engineer
394296,CAQ,D,CAQ:D,pdis met tower datum not available restoration sm power met datum not available pdis data comme board l indication met remain non functional write cr
397387,CAQ,D,CAQ:D,ids require maintenance ids not function design require maintenance contact detail security supervision notify compensatory measure post cr wr initiate
393592,NCAQ,3,NCAQ:3,find time cond rly tk aopc find time cond rly tk aopc tolerance range find time second tolerance range second adjusted relay per ppm leave time second notified supervisor op engineer evaluate tolerance range model relay manufacture time non class one e relay ot suggest haveing data sheet tolerance range change possiblee mcc comp b
395862,NCAQ,4,NCAQ:4,e exc base adjuster alarm investigation trip e gen associate ar cr follow alarm show base adjuster daughter board e exc wta regulator cabinet daughter board auanalog output failureau daughter board b ausister board failureau alarm identify system engineer walkdown wta cabinet generator lockout
392849,CAQ,C,CAQ:C,update ewdea engineering update ewcea add ol phase rpsmg ms
400727,CAQ,D,CAQ:D,siren c partial alarm weekly siren poll test c report partial failure alarm indicate problem one amplifier driver siren operate event slightly degrade notified ep dispatch tech repair recommend close wr caqfranklin county c
396822,NCAQ,3,NCAQ:3,r procedure change sop elec divtemppower change two section sop elec divtemppower tp installation mode ref ar eval update prerequisite make editorial change uploaded edms write cr
397793,CAQ,C,CAQ:C,mte find tolerance calcode honeywell pressure transducer model fpg psi find oot adjust within spec def write efin evaluate usage
394215,CAQ,D,CAQ:D,control rod not indicate full control rod not indicate full give rod select block rdcs rod insert w block rmcs short form refuel bridge not load core no refuel operation correct n screen indicate ba bad indication not blade change cell bundle
399727,NCAQ,4,NCAQ:4,unanticipated loss rfw vmp indication rft clearance hang bs va support wo specifically removal e fuse hp ggf control room unexpectedly receive p auturb vib troubleau alarm investigation reveal rfw vmp retain overall power lose indication turbine speed vibration reactor feed turbine ee cp h p unclear interaction fuse pull rfw vmp ewde contain unrepresented continuation electrical line section e f drawing may relate fuse gg f e va fuse gg f ewde ewdi rfw vmp control room staff unable conclusively rule risk high thrust bear wear trip rft reinstallation fuse increase risk plant transient conservative decision make lock clearance leave fuse remove team expand locked bs va inform turbine bldg watch potential issue compensatory action
393292,NCAQ,4,NCAQ:4,corporate laptop identify power block corporate laptop associate bpa work locate rw communication room per gbp corprate laptop not permit power block require additional labeling evaluation laptop not connect plant system component work supervisor contact inform requirement sm cyber security contact cr initiate cyber security report field laptop evaluate cyber security additional white label allow use within power block no identify operator discover laptop worker unfamiliar labeling requrement
396940,CAQ,D,CAQ:D,rcic v rcic v pack leakage investigate water floor note rcic v rcic v packing leakage notify hp mcr discuss ops verify packing leakage characterize minor steam leak valve packing
393359,NCAQ,4,NCAQ:4,drain manifold need cw system eo request drain manifold allow fire hose one fire hose inlet pipe could thread mpt way cap could use tg west side inlet need cap include would best way no valve would need cw drain manifold
384504,NCAQ,4,NCAQ:4,procedure enhancement review testing setting ge ceh relays enhancement need make procedure flow along step clarification notified supervisor mark procedure attach edms procedure need revise calibration follow relay hpcs rly e rlyg ashe dg rly dg dg rly dg general note follow assignment create within maint procedure revision data base mark procedure place within edms ar no action require ar see edms ar link maint procedure revision data base assignment
392409,NCAQ,4,NCAQ:4,sa mon calibration drift sa mon read last several shift suspect zero drift since imds say please cal necessary notified supervisor ew
393774,NCAQ,3,NCAQ:3,update ppm floor plug eval mode ts ppm current floor plug evaluation attachment describe flood barrier not require mode tstf water inventory control require eccs operable mode pull one floor plug operable eccs system could lead common mode failure mode recommend evaluate attachment relate flood common mode failure mode require operable eccs pump recommend update note note page limit number floor plug assembly allow remove no mode operable eccs pump
394597,NCAQ,3,NCAQ:3,cancellation process sdp ec product types tmod ec approve status since contingency associate ar cr never implement need cancel ec cancellation eng des send sharepoint guidance send des ec approve status des direct ec revise per des cancel per des however des state not applicable standard design process sdp ec product types tmod ec send back eng des perform revision eng des send ip eng sharepoint guidance perform revision sharepoint guidance ec revisions require process fcr initiate ec revision ec module currently direct process ridiculously cumbersome simple action particularly tmod ec upon examination tmod ec not sdp product cancel via pre sdp ec cancellation process regardless cumbersome nature sdp ec product cancellation process remain address
399590,NCAQ,4,NCAQ:4,light rw near rw elevator performance chemistry daily log note lighting fixture bulb area tenebrific navigable crs informedlight outside rw elevator rw elevation
392631,CAQ,D,CAQ:D,received rod accumulator trouble alarm receive rod accumulator trouble alarm drop crd hcu due high water level drain accumulator clear alarm drain accumulator cleared alarm
395084,NCAQ,4,NCAQ:4,sec cctv need clean sec cctv poor picture quality due dirty request electrical maintenance service camera compensatory measure initiate cr wr generate
397667,NCAQ,3,NCAQ:3,enhancement wo dsa ara press switch cal enhancement wo dsa ara pressure switch calibration ensure conservative approach maintain compressor service first enhance step add au record position dsa rms ca circle one lead lead aau correct current step place switch lead position ie change lead lead would suggest make current step sequence maintain second enhance step currently read aurequest operation place dsa rms ca lead position desire e cp dg rpau change aurequest operations place dsa rms ca position record step desire e cp dg rpau please evaluate correctness availability conservatism informed ic tech job sitewo
385942,NCAQ,3,NCAQ:3,qa oe assignment not close iaw opex qa six ten oe assignment evaluate close without complete documentation direct assignment progress note contrary opex insufficiently analyze operating experience expose columbia increase risk event no oe assignment review appear incorrectly screen factual basis ten oe assignment review adequate resolution timeliness closure six assignment find not close iaw opex state complete oee assignment follow assignment description enter evaluation information progress note outline therein completion oee assignment approve assigneeaos manager supervisor mean asset suite route list approval create assignee state complete oei oeb assignment enter require information progress note outline therein document distribution information e post e mail pre job briefing note edms panel assignee take assignment complete status state complete oes assignment follow assignment description enter screening information progress note outline therein assignee take assignment complete status closure document completion note not address progress note direction following oe assignment oee oes problem consider deficiency identify chemistry environmental monitoring program audit au ch quality recommend cr route corrective action program discuss issue corrective action program supervisor senior performance improvement coordinator chemistry rad safety manager quality services supervisor quality manager
402292,NCAQ,4,NCAQ:4,ms vb minor packing leak ms vb minor packing leak inside high rad area head height cr wr
385506,NCAQ,3,NCAQ:3,wano evaluation ai no red white tape floor inst wano walkdown following issue identify caution sign instrument rack state not use radio vicinity rack floor not red white tape inconsistent standard radio free zone marking cr work request generate correct tg ao east side red white tape not standard per ppm wr cancel recommend assignment evaluate currrent labeling practice rf transmit device control area mitchell
394142,CAQ,C,CAQ:C,leave llrt xe containment hatch fail pmt wot leave llrt containment inspection hatch xe fail leak rate leakage excessive test pressure psig could not obtain indicate leakage sccm siginificantly great admin limit sccm verified llrt hose connection inspect outer ring snoop leak indicator no leakage observe outer ring therefore highly suspect inner ring leakage notified llrt sro eoc rx maintenancec
387833,CAQ,B,CAQ:B,rcicsac trip thermal overload rcicsac supply rcic v rcic p min flow valve performance osp rcic ist q step mov network pwr loss ol flicker least light stay light indication rcic v lose operator locally check rcicsac note closed reset overload upon reset overload valveaos light indication restore valve go shut mrule failure safety relate mspi component direct cause opening thermal overloads tol unclear time tol open cr screen severity b eqit
400079,NCAQ,3,NCAQ:3,checklist task unable perform write reactor operator clearance order preparation checklist tg rev task ro auplan issue implement clearance order checklist per oi sub task auwrite perform temporary liftau must perform task process write temporary lift change since qual card issue corc write temp lift create initial clearance shift tag ro implement temp lift per schedule clearance order implementation separate qualification recommend evaluation remove auissue implementau task candidate already qualify clearance order implementation tgri already practice task within tgro checklist operations training supervision concur action per telecom follow gen tqs section resolution
387816,CAQ,D,CAQ:D,crd hcu rod accumulator trouble receive rod accumulator trouble alarm crd hcu ops report alarm due water drain water alarm clear
402684,CAQ,D,CAQ:D,mte reject calcode mitutoyo dial caliper model find oot efin eval id measuring jaws bent damage reject usages comparison measurements usages info measurements usages id not use def write no action require none trending purpose
387227,NCAQ,4,NCAQ:4,prohibited item declare security checkpoint individual schedule site interview declare taser security checkpoint individual turn away security individual make arrangement coach well individual schedule interview
396806,NCAQ,4,NCAQ:4,dlr run xray machine dlr run xray machine lanyard break individual clip badge onto shirt place break lanyard inside personal bag still dlr attach contacted supervision hp williams plant services
384431,NCAQ,4,NCAQ:4,mte oot calcode shopmade arm power supply find oot adjust within spec not use calibration cycle def write no action required none trending purpose
393682,NCAQ,4,NCAQ:4,rfw fcva positioner air leak rfw fcva significant air leak positioner leak hear ft away valve schedule work r wo wr not initiate discuss aov sme
392722,NCAQ,3,NCAQ:3,cms part unavailable support r outage work cr not affect proper function instal plant equipment oem replacement cms ls cms lt ls cms ls cms lt ls cms ls cms lt ls cms ls cms lt ls drywell level switch flood detection order cid advance procurement po issue support outage wo cgs work closely manufacturer help resolve continued part shipment delay no firm shipment commit date additionally oem unable provide po require documentation necessary approve environmentally qualify new replacement switch application cgs drywell subject r work order drive month equipment qualification eq pm pmid replace instal obsolete level switch sensor head equipment qualification engineering perform preliminary review qualified life exist switch pm extension least one fuel cycle feasible recommend oscr sms pm extension issue remove cms drywell level switch sensor head replacement activity wo r outage scope due lack part note calibration instal level switch still due respective task pmid work order scope may require work see ar cr edms additional background information notified procurement procurement engineering supervisor eq engineering system engineeringcms ls cms ls cms ls cms ls cms lt ls cms lt ls cms lt ls cms lt ls
401348,CAQ,C,CAQ:C,doble atmospheric gas pattern change e tr doble recommend investigate cause atmospheric gas pattern change see dga sample since degas e tr along reason large fluctuation oxygen nitrogen condition no impact operation transformer correct condition ensure transformer operate schedule replace lrp recommend assignment system engineering cr document vendor recommendation evaluate not directly affect component operabilty
397215,NCAQ,4,NCAQ:4,ms lisa epn label break epn label ms lisa break half need new label make replace fill label request form initiate wr remove old label per label request form ms lisa
392596,NCAQ,3,NCAQ:3,ppm lack detail track flex bb equipment ppm manage b b flex equipment unavailability lack detail equipment tracking section osp flex note section state flex equipment remove normal storage location accordance ppm still consider properly store ppm no guidance address
395188,CAQ,D,CAQ:D,discrepancy find msr hp tube size asme code datum report westinghouse omm msr indicate high pressure tube size au od au wall thickness result au id size however try plug one ms hxb hp tube neither au au size plug could fit inside tube big actual measurement take id size measure au informed eoc generate work request document actual tube id size hp lp bundle
